"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"American Friends of Nehora Inc","11-3391398","2018-01-01","2018-12-31","1998","2018","990","501 Cedar Hill Rd","","Far Rockaway","NY","Queens",="11691","212-412-9163","N/A","501(c)(3) Public Charity","Secondary education","","","Q11 (Single Organization Support)","813219","8399","","","","WEISS & COMPANY LLP","http://www.guidestar.org/profile/11-3391398","http://www.guidestar.org/FinDocuments/2018/113/391/2018-113391398-10983e00-9.pdf","$4,030","$4,030","","-$370,039","","","-$370,039","$320,500","$320,500","","$320,500","","","","","$374,069","$0","","$174,128","$140,160","$6,685","$27,283","$3,535","","","","","","$3,150","","","","YISROEL WOLFSON","","","","","0"
"I J Alumni Association N E Inc","11-3391615","","","1998","","","39 15 21st St","","Long Island City","NY","Queens",="11101","","","501(c)(3) Private Nonoperating Foundation","Alumni relations","","","B84 (Alumni Associations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3391615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hempstead Boys and Girls Club Inc","11-3391667","2015-01-01","2015-12-31","1997","2015","990","40 Washington St","","Hempstead","NY","Nassau",="11550","516-292-3497","www.hbgc.com","501(c)(3) Public Charity","Youth services","","","O23 (Boys and Girls Clubs (Combined))","624110","8322","","N","N","FIESTA TAX SERVICE","http://www.guidestar.org/profile/11-3391667","http://www.guidestar.org/FinDocuments/2015/113/391/2015-113391667-0d2df272-9.pdf","$36,220","$8,967","","-$146,694","","","","$533,263","$533,263","","$387,253","","","","$15,010","$182,914","$99,716","","$477,669","$5,960","","","$16,500","$300","","$9,465","$24,557","","","","","","WAYNE REDMAN","","","","",""
"American International Acupuncture Institute","11-3391929","","","2002","","","1143 60th St","","Brooklyn","NY","Kings",="11219","","","501(c)(3) Public Charity","Vocational education","","","B30 (Vocational Technical)","61151","","","","","","http://www.guidestar.org/profile/11-3391929","http://www.guidestar.org/FinDocuments/2005/113/391/2005-113391929-02cde394-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E D P School of Computer Programing","11-3392105","2018-01-01","2018-12-31","2005","2018","990","1601 Voorhies Ave","","Brooklyn","NY","Kings",="11235","","","501(c)(3) Public Charity","Vocational education","","","B30 (Vocational Technical)","61151","","","N","","Andrew Pieri CPA PC","http://www.guidestar.org/profile/11-3392105","http://www.guidestar.org/FinDocuments/2018/113/392/2018-113392105-17028241-9.pdf","$668,206","$571,507","","$559,185","","","$559,185","$765,956","$765,956","","","","","","$765,956","$109,021","$0","","$914,274","$689,806","$224,468","$0","$13,230","$42,012","","$9,851","","","","","","","","","","","","0"
"Michael F Farrell Memorial Fund Inc","11-3392271","","","1998","","","2 Woodbine Ln","","Freehold","NJ","Monmouth",="07728","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3392271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Childrens Law Center","11-3392591","2018-04-01","2019-03-31","1997","2018","990","44 Court St Fl 11","","Brooklyn","NY","Kings",="11201","718-522-3333","WWW.CLCNY.ORG","501(c)(3) Public Charity","Legal services","Children's rights","","I80 (Legal Services)","541110","8111","","N","Y","WithumSmithBrown PC","http://www.guidestar.org/profile/11-3392591","http://www.guidestar.org/FinDocuments/2019/113/392/2019-113392591-17136421-9.pdf","$1,677,936","$411,306","$0","$117,769","$16,629","$0","$101,140","$10,159,129","$10,159,129","$1,312","$10,152,136","$10,014,552","$0","$0","$0","$1,560,167","$50,000","$0","$10,401,267","$9,766,526","$609,565","$25,176","$114,318","$1,326","$122,243","$82,299","$19,810","$0","$0","$223,515","","$0","KAREN SIMMONS","","","","","103"
"A Torah Infertility Medium of Exchange","11-3394747","2017-07-01","2018-06-30","1998","2017","990","1310 48th St Ste 406","","Brooklyn","NY","Kings",="11219","718-686-8912","WWW.ATIME.ORG","501(c)(3) Public Charity","Reproductive health care","Family services","","G40 (Diseases of Specific Organs)","813212","8399","","N","","ROTH & COMPANY LLP","http://www.guidestar.org/profile/11-3394747","http://www.guidestar.org/FinDocuments/2018/113/394/2018-113394747-10cd47af-9.pdf","$949,301","$775,437","","$472,900","","","$472,900","$3,469,092","$5,205,493","","$5,205,493","","-$1,736,401","","","$476,401","$16,338","","$3,535,294","$3,073,783","$154,753","$306,758","$13,548","$370,935","","","","","","","","","SHAUL ROSEN","","","","","11"
"Friends of Ten Mile River Inc","11-3395065","","","1998","","","PO Box 236","","Narrowsburg","NY","Sullivan",="12764","","","501(c)(3) Public Charity","Scouting programs","","","O40 (Scouting)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3395065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Child and Family Services Inc","11-3395262","2008-10-01","2009-09-30","1998","2008","990","44 Rockwell Pl # 60","","Brooklyn","NY","Kings",="11201","718-330-0845","WWW.BCAFS.ORG","501(c)(3) Public Charity","Family services","","","P40 (Family Services)","624190","8322","","Y","","LUTZ AND CARR, CPAS LLP","http://www.guidestar.org/profile/11-3395262","http://www.guidestar.org/FinDocuments/2009/113/395/2009-113395262-065bdd5b-9.pdf","$1,038,459","$86,063","","$525,374","","","$525,374","$3,473,121","$3,473,121","$54","$3,451,342","$3,441,964","","","$16,080","$513,085","$0","","$3,717,040","$3,363,261","$351,713","$2,066","$71,665","","","$61,557","","","","","","","KIM ROZZI","","","","","116"
"Workers Awaaz","11-3396196","","","1998","","","PO Box 720471","","Jackson Heights","NY","Queens",="11372","","","501(c)(3) Public Charity","Human rights","","","Q70 (International Human Rights)","813311","8399","","","","","http://www.guidestar.org/profile/11-3396196","http://www.guidestar.org/FinDocuments/2007/113/396/2007-113396196-03b23838-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marie Sklodowska-Curie Professional Womens Association Inc","11-3396485","","","2000","","","PO Box 220421","","Brooklyn","NY","Kings",="11222","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-3396485","http://www.guidestar.org/FinDocuments/2012/113/396/2012-113396485-08633c0b-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Community House Housing Development Fund Company Inc","11-3401318","2018-01-01","2018-12-31","1997","2018","990","357 9th St","","Brooklyn","NY","Kings",="11215","718-768-7100","N/A","501(c)(3) Public Charity","Human services","","","L21 (Public Housing)","531110","6513","6514","N","N","WATSONRICE LLP","http://www.guidestar.org/profile/11-3401318","http://www.guidestar.org/FinDocuments/2018/113/401/2018-113401318-17067855-9.pdf","$4,768,608","$423,995","$0","-$6,039,606","$20,889","","-$6,060,495","$1,631,154","$1,631,154","$376","$288,752","$288,752","$0","$0","$1,333,861","$10,808,214","$8,963,350","","$2,017,235","$1,717,186","$300,049","$0","$21,000","$0","$0","$35,559","$0","$0","$67,764","$0","","$0","Melvin Tse","","","","","0"
"Msgr Joseph F Stedman Residence Housing Development Fund Corporati","11-3402363","2018-07-01","2019-06-30","1946","2018","990","191 Joralemon St","","Brooklyn","NY","Kings",="11201","718-722-6150","WWW.CCBQ.ORG","501(c)(3) Public Charity","Housing development","Human services","","L21 (Public Housing)","531110","6513","6514","Y","","COHNREZNICK LLP","http://www.guidestar.org/profile/11-3402363","http://www.guidestar.org/FinDocuments/2019/113/402/2019-113402363-16991826-9.pdf","$6,407,250","$714,383","","-$2,817,230","","","-$2,817,230","$1,181,267","$1,181,267","$879","","","","","$1,176,918","$9,224,480","$8,983,300","","$1,205,577","$1,092,231","$113,346","$0","$15,825","","","$80,240","","","","","","","JEANNE M DIULIO","","","","","0"
"Direct Fund Foundation","11-3402906","","","1998","","","21 Ryder Ave","","Dix Hills","NY","Suffolk",="11746","(631) 404-8217","http://www.directfund.org","501(c)(3) Public Charity","Hospital care","Disaster relief","Graduate and professional education","Q33 (International Relief)","813311","8399","","","","","http://www.guidestar.org/profile/11-3402906","http://www.guidestar.org/FinDocuments/2011/113/402/2011-113402906-084e33b8-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mr. Chris Petrosino ","Mr. Chris Petrosino ","Founder","nypaac@yahoo.com",""
"A Family Budget Counseling Inc","11-3403606","2008-09-01","2009-08-31","1998","2008","990","38 Alpine Way","","Huntington Station","NY","Suffolk",="11746","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","EPAND BOYLE & COMPANY","http://www.guidestar.org/profile/11-3403606","http://www.guidestar.org/FinDocuments/2010/113/403/2010-113403606-06b60f47-9.pdf","$190,732","$187,922","","-$8,116","","","-$8,116","$333,629","$333,629","$6,635","","","","","$326,994","$198,848","$0","","$271,119","$244,005","$27,114","$0","","$3,369","","$1,987","$15,246","","","","","","","","","","","3"
"Deputy Sheriff Harry Steiger Memorial Scholarship Fund","11-3403820","","","1998","","","958 Portion Rd","","Ronkonkoma","NY","Suffolk",="11779","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3403820","http://www.guidestar.org/FinDocuments/2007/113/403/2007-113403820-03a25a68-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Association of Bangladeshi Engineers & Architects NY NJ CT","11-3404020","","","1998","","","1338 5th Ave","","New Hyde Park","NY","Nassau",="11040","","","501(c)(3) Public Charity","Adult education","","","B60 (Adult, Continuing Education)","611699","7999","8299","","","","http://www.guidestar.org/profile/11-3404020","http://www.guidestar.org/FinDocuments/2009/113/404/2009-113404020-06144b89-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fischer Black Memorial Foundation","11-3404155","2018-01-01","2018-12-31","1998","2018","990EZ","555 8th Ave Rm 1902","","New York","NY","New York",="10018","646-736-0705","www.iaqf.org/fischer-black-memorial-foundation","501(c)(3) Public Charity","Business education","Economics","","T20 (Private Grantmaking Foundations)","813211","6732","","","Y","","http://www.guidestar.org/profile/11-3404155","http://www.guidestar.org/FinDocuments/2018/113/404/2018-113404155-17083790-Z.pdf","$39,331","$39,331","","$39,331","","","","$79,026","$79,026","","","","","","$78,543","","","","$71,924","","","","","","","","","","","","$1,961","","","","","","",""
"Keren Chaim V Chesed Inc","11-3404355","","","1998","","","479 Bedford Ave","","Brooklyn","NY","Kings",="11211","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","","http://www.guidestar.org/profile/11-3404355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Friends of Netivot Horaah","11-3404952","2018-01-01","2018-12-31","1998","2018","990EZ","1054 43rd St","","Brooklyn","NY","Kings",="11219","917-771-4308","N/A","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","BUNKER AND COMPANY CPA PLLC","http://www.guidestar.org/profile/11-3404952","http://www.guidestar.org/FinDocuments/2018/113/404/2018-113404952-17015584-Z.pdf","$5,639","$5,639","","$2,389","","","","$119,805","$119,805","$1","$119,804","","","","","$3,250","","","$125,790","","","","","","","","","","","","","","","","","","",""
"American Legion","11-3405820","","","1946","","","45 Rose Ave","","Roosevelt","NY","Nassau",="11575","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3405820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Husain Institute of Technology Inc","11-3406996","","","1998","","","1404 Brooklyn Ave Apt 1a","","Brooklyn","NY","Kings",="11210","","","501(c)(3) Public Charity","University education","","","B43 (University or Technological)","611310","8221","","","","","http://www.guidestar.org/profile/11-3406996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr Alberta Hersey Foundation Inc","11-3407602","","","1998","","","PO Box 125","","Glen Cove","NY","Nassau",="11542","","","501(c)(3) Public Charity","Basic and emergency aid","","","P60 (Emergency Assistance (Food, Clothing, Cash))","624230","8322","","","","","http://www.guidestar.org/profile/11-3407602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New American Alliance Inc","11-3407849","","","1998","","","8463 256th St","","Floral Park","NY","Nassau",="11001","","","501(c)(3) Private Nonoperating Foundation","Diversity and intergroup relations","","","R30 (Intergroup/Race Relations)","813311","8399","","","","","http://www.guidestar.org/profile/11-3407849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Learn N Play Nursery Inc","11-3408352","","","1998","","","4210 Union St","","Flushing","NY","Queens",="11355","","","501(c)(3) Public Charity","Early childhood education","","","B21 (Kindergarten, Nursery Schools, Preschool, Early Admissions)","624410","8351","","","","","http://www.guidestar.org/profile/11-3408352","http://www.guidestar.org/FinDocuments/2009/113/408/2009-113408352-055d24c8-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Rescue Mission and Fellowship","11-3408852","","","1992","","","88 5th Ave","","Brooklyn","NY","Kings",="11217","","","501(c)(3) Public Charity","Homeless shelters","","","L41 (Temporary Shelter For the Homeless)","624221","8322","","","","","http://www.guidestar.org/profile/11-3408852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Versie B Towns Foundation","11-3408951","","","1998","","","47 Remsen St Apt 2","","Brooklyn","NY","Kings",="11201","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3408951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Top Development Corporation","11-3409359","2018-01-01","2018-12-31","1999","2018","990","1274 Utica Ave","","Brooklyn","NY","Kings",="11203","718-451-1020","topcommunitydevelopment.org","501(c)(3) Public Charity","Food aid","","","K30 (Food Service, Free Food Distribution Programs)","624210","8322","","N","","Abundant Life Accounting Firm LLC","http://www.guidestar.org/profile/11-3409359","http://www.guidestar.org/FinDocuments/2018/113/409/2018-113409359-17120236-9.pdf","$3,404,088","$56,071","","$2,460,365","$0","$0","$2,460,365","$137,467","$244,034","","$37,725","$0","$3,842","","$0","$943,723","$0","$0","$137,811","$37,266","$100,545","$0","$4,475","$0","$0","$0","$0","$0","$0","$0","","$0","Nicole Grant","","","","","0"
"Agape Love Family Association Alfa Ltd","11-3409947","","","1998","","","14451 222nd St","","Laurelton","NY","Queens",="11413","","","501(c)(3) Private Nonoperating Foundation","Family services","","","P40 (Family Services)","624190","8322","","","","","http://www.guidestar.org/profile/11-3409947","http://www.guidestar.org/FinDocuments/2003/113/409/2003-113409947-1-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Technology Solutions Inc","11-3415592","","","1998","","","419 Clinton St","","Brooklyn","NY","Kings",="11231","","","501(c)(3) Private Nonoperating Foundation","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-3415592","http://www.guidestar.org/FinDocuments/1999/113/415/1999-113415592-1-z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asu of New York Inc","11-3416416","","","2006","","","208 Avenue S","","Brooklyn","NY","Kings",="11223","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Human services","","","P28 (Neighborhood Center, Settlement House)","624190","8322","","","","","http://www.guidestar.org/profile/11-3416416","http://www.guidestar.org/FinDocuments/2008/113/416/2008-113416416-06b383c8-ZO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keter Shlomo Foundation Inc","11-3416859","2018-01-01","2018-12-31","1998","2018","990","1572 E 10th St","","Brooklyn","NY","Kings",="11230","718-417-8880","","501(c)(3) Public Charity","Special population support","","","P80 (Services to Promote the Independence of Specific Populations)","624120","8322","","N","","J. GLIKSMAN CPA PC","http://www.guidestar.org/profile/11-3416859","http://www.guidestar.org/FinDocuments/2018/113/416/2018-113416859-1163c183-9.pdf","$8,674","$8,674","","$8,674","","","","$249,656","$249,656","","$249,656","","","","","$0","$0","","$244,230","$241,950","$2,280","$0","$2,000","","","","","","","","","","JACK YEDID","","","","","0"
"Reality Chek Foundation Inc","11-3417428","","","1998","","","216 Greene Ave","","Brooklyn","NY","Kings",="11238","","","501(c)(3) Private Nonoperating Foundation","Youth organizing","","","O50 (Youth Development Programs)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3417428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Helen Christian Day Care","11-3417765","","","2000","","","1075 Halsey St","","Brooklyn","NY","Kings",="11207","","","501(c)(3) Public Charity","Child care","","","P33 (Child Day Care)","624410","8351","","","","","http://www.guidestar.org/profile/11-3417765","http://www.guidestar.org/FinDocuments/2007/113/417/2007-113417765-04215ff7-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Multifunctional Family Services Inc","11-3417903","2017-07-01","2018-06-30","1998","2017","990","130 Waterbury St","","Brooklyn","NY","Kings",="11206","","N/A","501(c)(3) Public Charity","Family services","","","P40 (Family Services)","624190","8322","","N","","Robert Hanoman CPA LLC","http://www.guidestar.org/profile/11-3417903","http://www.guidestar.org/FinDocuments/2018/113/417/2018-113417903-107d9fe4-9.pdf","$7,584,640","$5,326,216","","$7,533,449","","","$7,533,449","$1,656,089","$1,656,089","","","","","","$1,604,882","$51,191","$0","","$1,029,385","$935,130","$94,255","$0","$10,200","","","$59,656","$67","","","","","","Tameshwar Roopchand","","","","","24"
"AMVETS","11-3417905","","","1945","","","24 Segatogue Ln","","South Setauket","NY","Suffolk",="11720","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3417905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"John Wesley Village II Inc","11-3418335","2018-01-01","2018-12-31","1998","2018","990PF","2 Aldersgate","","Riverhead","NY","Suffolk",="11901","631-727-4220","","501(c)(3) Private Nonoperating Foundation","Housing services","","","L80 (Other Housing Support Services)","624229","8322","","","","","http://www.guidestar.org/profile/11-3418335","http://www.guidestar.org/FinDocuments/2018/113/418/2018-113418335-17148260-F.pdf","$0","","","-$538,822","","","","$460,961","$460,961","$381","$25,405","","","","","$538,822","","","$352,767","","","","$1,239","","","","","","","","","","","","","","",""
"New Cassel-Westbury Neighborhood Advisory Council","11-3418661","","","1998","","","847 Prospect Ave","","Westbury","NY","Nassau",="11590","","","501(c)(3) Private Nonoperating Foundation","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","","","","http://www.guidestar.org/profile/11-3418661","http://www.guidestar.org/FinDocuments/2000/113/418/2000-113418661-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"George B Lockwood Center for Family Life Inc","11-3419101","","","1999","","","3936 21st St","","Long Island City","NY","Queens",="11101","","","501(c)(3) Private Nonoperating Foundation","Education services","","","B90 (Educational Services and Schools - Other)","611710","8299","8748","","","","http://www.guidestar.org/profile/11-3419101","http://www.guidestar.org/FinDocuments/2005/113/419/2005-113419101-02485602-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Refuah Toys Foundation","11-3419291","","","2000","","","1458 47th St","","Brooklyn","NY","Kings",="11219","","","501(c)(3) Public Charity","Gift distribution","","","P58 (Gift Distribution)","624190","8322","","","","","http://www.guidestar.org/profile/11-3419291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nostrand Gardens Civil Association Inc","11-3551416","","","2000","","","PO Box 276","","Uniondale","NY","Nassau",="11553","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","","http://www.guidestar.org/profile/11-3551416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scott Hession Scholarship Golf Tournament","11-3551844","2018-01-01","2018-12-31","2002","2018","990EZ","3 Morgan Ln","","Bayport","NY","Suffolk",="11705","631-868-0314","WWW.Julietl@verizon.net(email)ivo website","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","N","","http://www.guidestar.org/profile/11-3551844","http://www.guidestar.org/FinDocuments/2018/113/551/2018-113551844-111bda1e-Z.pdf","$65,587","$65,587","","$65,587","","","","$0","$0","$0","$0","","$0","$0","$0","$0","","","$10,000","","","","","","","","","","","","$0","","","","","","",""
"Rjo Parent Faculty Organization","11-3553481","2018-07-01","2019-06-30","1954","2018","990EZ","99 Old Dock Rd","","Kings Park","NY","Suffolk",="11754","","www.orgsites.com/ny/rjo-pfo/","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","KPF Advisors Inc","http://www.guidestar.org/profile/11-3553481","http://www.guidestar.org/FinDocuments/2019/113/553/2019-113553481-17046046-Z.pdf","$21,978","$21,978","","$21,978","","","","$37,083","$61,366","","$11,083","","$26,000","","","$0","","","$32,689","","","","","","","","","","","","$50","","","","","","",""
"PTA New York Congress","11-3553485","2017-07-01","2018-06-30","1954","2017","990EZ","1900 Wading River Manor Rd","","Wading River","NY","Suffolk",="11792","631-445-9513","WWW.WADINGRIVERPTA.COM","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","GE MACODNALD & CO LTD","http://www.guidestar.org/profile/11-3553485","http://www.guidestar.org/FinDocuments/2018/113/553/2018-113553485-115b13f2-Z.pdf","$40,224","$40,224","","$40,224","","","","$74,216","$149,822","","$1,035","","$38,210","$2,057","$32,914","","","","$74,009","","","","","","","","","","","","$187","","","","","","",""
"Joyce Harriet Stahl Scholarship Fund Inc","11-3553543","2018-06-01","2019-05-31","2000","2018","990EZ","80 Crossways Park Dr W","","Woodbury","NY","Nassau",="11797","516-338-8700","N/A","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","SHALIK MORRIS & COMPANY LLP","http://www.guidestar.org/profile/11-3553543","http://www.guidestar.org/FinDocuments/2019/113/553/2019-113553543-17082289-Z.pdf","$190,318","$30,559","","$190,318","","","","$17,411","$17,411","$3,901","$13,510","","","","","$0","","","$17,211","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-3553583","","","1954","","","140 Woodhull Rd","","Huntington","NY","Suffolk",="11743","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3553583","http://www.guidestar.org/FinDocuments/2010/113/553/2010-113553583-069beaa1-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York Association for the Advancement of West Demerara","11-3553797","","","2001","","","482 E 53rd St","","Brooklyn","NY","Kings",="11203","","","501(c)(3) Public Charity","Education","","","B12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-3553797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heckscher Youth Program Inc","11-3554475","","","2001","","","319 E Manhasset St","","Islip Terrace","NY","Suffolk",="11752","","","501(c)(3) Public Charity","Youth development","","","O99 (Other Youth Development N.E.C.)","624110","8322","","","","","http://www.guidestar.org/profile/11-3554475","http://www.guidestar.org/FinDocuments/2011/113/554/2011-113554475-07aae49f-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Believe in Youth Inc","11-3554586","","","2001","","","6312 72nd St","","Middle Village","NY","Queens",="11379","","","501(c)(3) Public Charity","Adult and child mentoring","","","O30 (Adult, Child Matching Programs)","624110","8322","","","","","http://www.guidestar.org/profile/11-3554586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anshe Maamed Foundation","11-3555231","2013-06-01","2014-05-31","2000","2013","990","1271 45th St","","Brooklyn","NY","Kings",="11219","718-686-1616","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","N","","HERSCHEL DEUTSCH CPA","http://www.guidestar.org/profile/11-3555231","http://www.guidestar.org/FinDocuments/2014/113/555/2014-113555231-0adb5756-9.pdf","$13,794","$13,182","","$13,794","","","","$502,084","$502,084","$11","$502,073","","","","","$0","$0","","$515,030","$509,628","$5,402","$0","$875","","","","","","","","","","JOSEPH DEUTSCH","","","","","0"
"Sahara Foundation Inc","11-3556257","","","2001","","","3748 72nd St","","Jackson Heights","NY","Queens",="11372","","","501(c)(3) Public Charity","Immigrant services","","","P84 (Ethnic/Immigrant Services)","624190","8322","","","","","http://www.guidestar.org/profile/11-3556257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hiding Place Inc","11-3556592","","","2003","","","31 Holly Dr","","Smithtown","NY","Suffolk",="11787","","","501(c)(3) Private Nonoperating Foundation","Religion for youth","","","O55 (Religious Leadership, Youth Development)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3556592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grassroots Environmental Education Inc","11-3556686","2018-01-01","2018-12-31","2001","2018","990","52 Main St","","Port Washington","NY","Nassau",="11050","516-883-0887","http://www.grassrootsinfo.org","501(c)(3) Public Charity","Education","Health","Consumer protection","W90 (Consumer Protection and Safety)","813319","8399","8641","N","","BURRUANO DOLAN LLP","http://www.guidestar.org/profile/11-3556686","http://www.guidestar.org/FinDocuments/2018/113/556/2018-113556686-17141492-9.pdf","$212,665","$188,456","","$212,060","","","$212,060","$284,544","$288,360","","$243,433","$5,000","$11,470","","$29,641","$605","$0","","$291,143","$243,617","$42,042","$5,484","","","","$6,537","","","","","","","SAM BURRUANO","Patti Wood ","Lauren Hughes ","Policy Director","lhughes@grassrootsinfo.org","10"
